clave,claveAntes,concepto,smae_id
011111,A019,Arroz en grano,"1006, 1007, 1010, 1011, 1012, 1013, 1014, 1015, 1016"
011112,A001,Maíz en grano,"1202, 1203, 1204, 1205, 1206, 1207, 1208, 1209"
011113,A024,Otros cereales,"1024, 1030, 1062, 1063, 1064, 1219, 1220, 1293, 1301, 1316, 1317, 1318, 1319, 1320, 1003, 1004"
011121,A002,Harina de maíz,"1110, 1111, 1151, 1152, 1153, 1154, 1163, 1168, 1201"
011122,A007,Harina de trigo,"1141, 1142, 1143, 1156, 1157, 1158, 1159, 1160, 1161, 1162"
011131,A004,Tortillas de maíz,"1306, 1307, 1308, 1309, 1310, 1311, 1312"
011132,A008,Tortillas de harina de trigo,"1460, 1461"
011133,A012,Pan,"1031, 1032, 1033, 1034, 1035, 1036, 1037, 1038, 1044, 1045, 1046, 1047, 1048, 1104, 1225, 1233, 1234, 1235, 1238, 1239, 1241, 1242, 1243, 1255, 1256, 1257, 1260, 1305"
011134,A015,Pan de caja,"1261, 1244, 1245, 1249, 1250, 1258, 1259, 1217, 1218"
011135,A010,Galletas dulces,"1121, 1122, 1123, 1124, 1125, 1126, 1133, 1134, 1323, 1324, 1325, , 1412, 1413
1326, 1327, 1328, 1329, 1330, 1331, 1332, 1333, 1334, 1350, 1372,
1373, 1374, 1375, 1376, 1377, 1378, 1379, 1380, 1381, 1382, 1383,
1385, 1387, 1388, 1389"
011136,A011,Galletas saladas,"1127, 1128, 1129, 1130, 1138, 1139, 1140, 1386, 1396"
011137,A013,Pan dulce a granel,"1341, 1354, 1363, 1364, 1401, 1404, 1407, 1408, 1414, 1419, 1450, 1465, 1466, 1467, 1468, 1469"
011138,A014,Pan dulce empaquetado,"1336, 1337, 1338, 1339, 1357, 1358, 1359, 1365, 1390, 1402, 1421, 1422, 1423, 1424, 1425, 1438, 1439, 1451, 1464"
011139,A016,Pasteles y pastelillos en piezas o a granel,"1118, 1287, 1335, 1343, 1344, 1345, 1355, 1356, 1361, 1368, 1371, 1384, 1435, 1436, 1437, 1441, 1442, 1443, 1444, 1445, 1446, 1447, 1453"
01113A,A017,Pasteles y pastelillos empaquetados,"1333, 1334, 1390, 1402, 1409, 1410, 1438, 1439, 1451"
011140,A021,Cereales para el desayuno,"1008, 1009, 1020, 1021, 1022, 1023, 1025, 1026, 1027, 1028, 1029, 1065, 1066, 1067, 1068, 1069, 1070, 1071, 1072, 1073, 1074, 1075, 1076, 1077, 1078, 1079, 1080, 1081, 1082, 1113, 1170, 1171, 1172, 1173, 1174, 1175, 1176, 1177, 1178, 1179, 1180, 1181, 1182, 1184, 1185, 1186, 1187, 1188, 1189, 1190, 1191, 1192, 1193, 1194, 1195, 1221, 1391, 1392, 1393, 1394, 1395"
011150,A009,Spaghetti,"1060, 1083, 1084, 1107, 1109, 1112, 1115, 1116, 1117, 1120, 1197, 1199, 1279, 1280, 1281, 1283, 1285, 1299, 1303"
011191,A022,Botanas elaboradas con cereales,"1226, 1227, 1230, 1231, 1342, 1346, 1347, 1348, 1349,
1353, 1366, 1367, 1369, 1370, 1405, 1411, 1415, 1416"
011192,A005,Tostadas,"1314, 1315, 1462, 1463"
011193,A003,Masa de maíz,"1212, 1213, 1214, 1215, 1216, 1222"
011194,A006,Otros productos de maíz para ser preparados,"1210, 1289, 1298"
011195,NA,Otros productos de panadería,"1355, 1356, 1401, 1434"
011196,NA,Otros productos elaborados con cereales,"1062, 1144, 1145, 1148, 1149, 1150, 1135"
011210,NA,Animales terrestres vivos,"2240, 2155"
011221,A025,Bistec de res,"2140, 2141, 2143, 2204"
011222,NA,Chuleta y costilla de res,2221
