alimento,cantidad_sugerida,unidad,peso_bruto_g,peso_neto_g,energia_kcal,proteina_g,lipidos_g,hc_g,colesterol_mg,vitamina_a_ug_re,calcio_mg,hierro_mg,sodio_mg,selenio_ug,categoria_grasa
Arenque marinado,1/4,filete,46,46,73,8.3,4.2,0.0,27.6,12.9,26.2,0.5,41.4,16.8,moderado
Bistec de bola,25,g,25,25,71,7.2,4.5,0.0,24.0,0.0,1.5,0.8,12.5,5.0,moderado
Bola de res,25,g,25,25,71,7.2,4.5,0.0,24.0,0.0,1.5,0.8,12.5,5.0,moderado
Boquerones (fritos),40,g,40,40,70,7.7,4.1,0.1,ND,ND,67.2,0.0,0.0,5.6,moderado
Carne de suadero,29,g,29,29,76,7.8,4.8,0.0,20.9,0.0,1.7,1.0,20.3,0.0,moderado
Carne deshebrada,30,g,30,30,75,7.4,4.8,0.0,24.6,0.0,2.1,0.7,14.7,5.9,moderado
Carne molida extra magra cocida,30,g,30,30,75,7.4,4.8,0.0,24.6,0.0,2.1,0.7,14.7,3.8,moderado
Carne molida extra magra salteada,30,g,30,30,77,7.5,4.9,0.0,24.3,0.0,2.1,0.7,21.0,3.8,moderado
Caviar,5,cucharadita,27,27,67,6.6,4.8,1.1,156.6,72.2,73.3,3.2,399.8,17.5,moderado
Caviar negro,5,cucharadita,27,27,67,6.6,4.8,1.1,156.6,72.2,73.3,3.2,399.8,17.5,moderado
Caviar rojo,5,cucharadita,27,27,67,6.6,4.8,1.1,156.6,72.2,73.3,3.2,399.8,17.5,moderado
Chicharrón,12,g,12,12,72,6.9,4.7,0.0,8.9,ND,7.3,0.3,0.0,0.0,moderado
Chicharrón de cerdo,12,g,12,12,72,6.9,4.7,0.0,8.9,ND,7.3,0.3,0.0,0.0,moderado
Chicharrón de puerco,12,g,12,12,72,6.9,4.7,0.0,8.9,ND,7.3,0.3,0.0,0.0,moderado
Costillar de cerdo,50,g,50,33,69,6.5,4.6,0.0,19.5,0.7,1.6,0.2,13.7,10.4,moderado
Costillitas de cerdo,50,g,50,33,69,6.5,4.6,0.0,19.5,0.7,1.6,0.2,13.7,10.4,moderado
Gusanos de maguey,35,g,35,35,70,5.8,4.8,0.0,ND,ND,49.7,1.5,0.0,0.0,moderado
"Huevo ""enriquecido con DHA-Omega 3 y Vitamina E""",1,pieza,63,55,70,6.0,4.5,0.7,199.7,ND,ND,ND,70.0,16.5,moderado
