categoria,alimento,cantidad_sugerida,unidad,peso_bruto_redondeado_g,peso_neto_g,energia_kcal,proteina_g,lipidos_g,hidratos_carbono_g,sodio_mg,azucar_por_equivalente_g,indice_glucemico,carga_glucemica
Azúcares sin grasa,Aderezos para ensalada bajos en calorías y grasa,1/3,taza,85,85,40,0.0,0.0,8.0,1066.6,8.0,ND,ND
Azúcares sin grasa,Agua quina,1/3,lata,117,117,42,0.0,0.0,11.1,16.3,11.1,ND,ND
Azúcares sin grasa,Ate,13,g,13,13,41,0.4,0.1,9.8,ND,9.2,51.0,5.0
Azúcares sin grasa,Ate de guayaba,13,g,13,13,41,0.4,0.1,9.8,ND,9.2,51.0,5.0
Azúcares sin grasa,Ate de membrillo,13,g,13,13,41,0.4,0.1,9.8,ND,9.2,51.0,5.0
Azúcares sin grasa,Azúcar blanca,2,cucharadita,8,8,33,0.0,0.0,8.4,ND,8.4,68.0,5.7
Azúcares sin grasa,Azúcar de mesa,2,cucharadita,8,8,33,0.0,0.0,8.4,ND,8.4,68.0,5.7
Azúcares sin grasa,Azúcar glass,4,cucharadita,10,10,39,0.0,0.0,10.0,0.1,9.8,68.0,6.8
Azúcares sin grasa,Azúcar granulada,2,cucharadita,8,8,33,0.0,0.0,8.4,ND,8.4,68.0,5.7
Azúcares sin grasa,Azúcar mascabado,2,cucharadita,10,10,36,0.0,0.0,9.1,3.0,9.1,68.0,6.2
Azúcares sin grasa,Azúcar morena,3,cucharadita,9,9,34,0.0,0.0,8.8,2.5,8.7,68.0,6.0
Azúcares sin grasa,Bebida láctea fermentada,1,pieza,80,80,50,0.9,0.2,11.7,ND,11.4,46.0,5.4
Azúcares sin grasa,Bebida para deportistas,1/4,bote sport,152,152,40,0.0,0.0,9.8,59.4,8.0,78.0,7.6
Azúcares sin grasa,Bebida para deportistas en polvo,2,cucharadita,10,10,36,0.0,0.0,9.5,60.3,9.0,78.0,7.4
Azúcares sin grasa,Boost,1/3,lata,78,78,33,0.3,0.0,7.9,0.6,7.9,ND,ND
Azúcares sin grasa,Bubbaloo xtreme,1/2,pieza,8,8,33,0.1,0.0,8.1,0.2,5.7,ND,ND
Azúcares sin grasa,Bubulubu,1/3,pieza,12,12,46,0.1,0.9,9.2,38.5,6.6,ND,ND
Azúcares sin grasa,Burn,1/5,lata,62,62,36,0.2,0.0,9.0,28.0,9.0,ND,ND
Azúcares sin grasa,Café capuchino helado,1/3,taza,80,80,43,0.7,0.8,8.0,40.0,7.0,ND,ND
Azúcares sin grasa,Café capuchino instantáneo,2,cucharadita,8,8,32,0.2,0.4,6.9,14.4,5.5,ND,ND
Azúcares sin grasa,Cajeta,1 1/2,cucharadita,9,9,36,0.5,1.0,6.4,7.7,ND,ND,ND
Azúcares sin grasa,Caramelo,2,pieza pequeña,12,12,47,0.0,0.0,11.8,4.6,7.5,ND,ND
