alimento,subcategoria,cantidad_sugerida,unidad,peso_bruto_redondeado_g,peso_neto_g,energia_kcal,proteina_g,lipidos_g,hidratos_carbono_g,ag_saturados_g,ag_monoinsaturados_g,ag_poliinsaturados_g,colesterol_mg,sodio_mg
Aceite,aceites_y_grasas,1,cucharadita,5,5,44,0.0,5.0,0.0,0.4,2.9,1.5,0.0,0.0
Aceite comestible,aceites_y_grasas,1,cucharadita,5,5,44,0.0,5.0,0.0,0.4,2.9,1.5,0.0,0.0
Aceite de aguacate,aceites_y_grasas,1,cucharadita,5,5,44,0.0,5.0,0.0,0.6,3.5,0.7,0.0,0.0
Aceite de ajonjolí,aceites_y_grasas,1,cucharadita,5,5,44,0.0,5.0,0.0,0.7,2.0,2.1,0.0,0.0
Aceite de algodón,aceites_y_grasas,1,cucharadita,5,5,44,0.0,5.0,0.0,1.3,0.9,2.6,0.0,0.0
Aceite de almendra,aceites_y_grasas,1,cucharadita,5,5,44,0.0,5.0,0.0,0.4,3.5,0.9,0.0,0.0
Aceite de cacahuate,aceites_y_grasas,1,cucharadita,5,5,44,0.0,5.0,0.0,0.9,2.3,1.6,0.0,0.0
Aceite de cacao,aceites_y_grasas,1,cucharadita,5,5,44,0.0,5.0,0.0,3.0,1.6,0.1,0.0,0.0
Aceite de canola,aceites_y_grasas,1,cucharadita,5,5,44,0.0,5.0,0.0,0.4,2.9,1.5,0.0,0.0
Aceite de cártamo,aceites_y_grasas,1,cucharadita,5,5,44,0.0,5.0,0.0,0.7,2.0,2.1,0.0,0.0
Aceite de coco,aceites_y_grasas,1,cucharadita,5,5,43,0.0,5.0,0.0,4.3,0.3,0.1,0.0,0.0
Aceite de girasol,aceites_y_grasas,1,cucharadita,5,5,44,0.0,5.0,0.0,0.5,1.0,3.3,0.0,0.0
Aceite de girasol 60% con ácido linoleico,aceites_y_grasas,1,cucharadita,5,5,44,0.0,5.0,0.0,0.5,1.0,3.3,0.0,0.0
Aceite de girasol 70% con ácido oleico,aceites_y_grasas,1,cucharadita,5,5,44,0.0,5.0,0.0,0.6,2.3,1.8,0.0,0.0
Aceite de hígado de bacalao,aceites_y_grasas,1,cucharadita,5,5,45,0.0,5.0,0.0,1.1,2.3,1.1,28.6,0.0
Aceite de maíz,aceites_y_grasas,1,cucharadita,5,5,44,0.0,5.0,0.0,0.6,1.2,2.9,0.0,0.0
Aceite de oliva,aceites_y_grasas,1,cucharadita,5,5,44,0.0,5.0,0.0,0.7,3.7,0.4,0.0,0.0
Aceite de oliva extra virgen,aceites_y_grasas,1,cucharadita,5,5,44,0.0,5.0,0.0,0.7,3.7,0.4,0.0,0.0
Aceite de olivo,aceites_y_grasas,1,cucharadita,5,5,44,0.0,5.0,0.0,0.7,3.7,0.4,0.0,0.0
Aceite de palma,aceites_y_grasas,1,cucharadita,5,5,44,0.0,5.0,0.0,2.5,1.9,0.5,0.0,0.0
Aceite de soya,aceites_y_grasas,1,cucharadita,5,5,44,0.0,5.0,0.0,0.7,1.1,2.6,0.0,0.0
Aceite de soya y algodón,aceites_y_grasas,1,cucharadita,5,5,44,0.0,5.0,0.0,0.9,1.5,2.4,0.0,0.0
Aceite en spray,aceites_y_grasas,5,disp. de un segundo,5,5,44,0.0,5.0,0.0,0.6,1.2,2.9,0.0,0.0
Aceituna negra sin hueso,aceites_y_grasas,5,pieza,25,25,46,0.3,5.0,0.8,0.5,3.8,0.3,0.0,600.0
Aceituna verde con hueso,aceites_y_grasas,6,pieza,30,25,46,0.3,5.1,0.8,0.5,3.8,0.3,0.0,604.8
Aceituna verde sin hueso,aceites_y_grasas,8,pieza,24,24,44,0.3,4.8,0.8,0.5,3.6,0.2,0.0,576.0
Aceitunas rellenas de anchoa,aceites_y_grasas,5,pieza,25,25,46,0.6,4.5,0.8,0.0,0.0,0.0,0.0,600.0
Aceitunas rellenas de pimiento,aceites_y_grasas,7,pieza,35,35,44,0.0,3.5,2.6,0.9,2.6,0.0,0.0,306.3
Aderezo,aceites_y_grasas,3,cucharada,45,45,48,0.0,4.5,2.1,0.6,0.9,2.7,3.0,354.0
Aderezo blue cheese,aceites_y_grasas,0.5,cucharada,8,8,38,0.4,3.9,0.6,0.8,0.9,2.1,1.5,82.0
Aderezo con queso y ajo,aceites_y_grasas,0.5,cucharada,8,8,33,0.0,3.8,0.2,0.6,0.0,0.0,0.0,77.3
Aderezo cremoso,aceites_y_grasas,0.5,cucharada,8,8,38,0.4,3.9,0.6,0.8,0.9,2.1,1.5,82.0
Aderezo de ciruela pasas,aceites_y_grasas,0.5,cucharada,8,8,39,0.1,3.9,1.1,0.6,2.4,0.7,11.1,35.7
Aderezo de hierbas finas,aceites_y_grasas,0.5,cucharada,8,8,31,0.1,3.2,0.8,0.5,2.3,0.3,0.0,73.0
