alimento,cantidad_sugerida,unidad,peso_bruto_g,peso_neto_g,energia_kcal,proteina_g,lipidos_g,hc_g,colesterol_mg,vitamina_a_ug_re,calcio_mg,sodio_mg,azucar_por_equivalente_g,categoria_leche
ALF fresa con Lactobacillus casei Shirota,1 1/2,envase,159,159,96,6.4,0.3,17.1,ND,ND,223.5,81.0,ND,descremada
ALF mango con Lactobacillus casei Shirota,1 1/2,envase,159,159,96,6.4,0.3,16.9,ND,ND,223.5,81.0,ND,descremada
ALF manzana con Lactobacillus casei Shirota,1 1/2,envase,159,159,90,6.4,0.3,15.4,ND,ND,222.0,82.5,ND,descremada
Bebida de soya (Leche de soya),1,taza,240,240,79,6.6,4.6,4.3,0.0,7.0,10.0,29.0,ND,descremada
Danonino Queso Tipo Petit Suisse,2,piezas,90,90,97,5.2,2.8,12.8,ND,ND,216.0,30.2,ND,descremada
Leche Alpura Light Extra,1,taza,240,240,103,8.0,2.4,14.0,ND,144.0,336.0,134.4,ND,descremada
Leche descremada,1,taza,245,245,86,8.4,0.4,11.9,4.0,149.0,302.0,126.0,ND,descremada
Leche descremada con chocolate,1,taza,240,240,77,5.8,1.0,12.5,ND,ND,297.6,115.2,ND,descremada
Leche descremada en polvo,4,cucharada,30,30,109,10.8,0.2,15.6,6.0,2.0,377.0,161.0,ND,descremada
Leche descremada en polvo reducida en Ca,4,cucharada,30,30,107,10.8,0.1,15.8,1.1,1.1,84.5,692.1,ND,descremada
Leche en polvo descremada,4,cucharada,30,30,109,10.8,0.2,15.6,6.0,2.0,377.0,161.0,ND,descremada
Leche evaporada descremada,1/2,taza,120,120,94,9.0,0.4,13.5,3.8,138.8,348.8,138.8,ND,descremada
Leche evaporada semidescremada,1/2,taza,120,120,94,7.5,1.9,11.3,18.8,0.0,300.0,131.3,ND,descremada
Leche Lala Extracalcio Light,1,taza,240,240,113,9.1,2.4,13.7,ND,ND,364.8,144.0,ND,descremada
Leche Lala Light,1,taza,240,240,96,7.5,2.4,11.1,ND,ND,247.7,120.0,ND,descremada
Leche Lala Siluette Plus,1,taza,240,240,83,7.5,0.5,13.6,ND,ND,269.8,149.8,ND,descremada
Leche Lala Vive con fibra,1,taza,240,240,91,7.5,1.2,15.0,ND,ND,247.7,120.0,ND,descremada
Leche Lala Vive Deslactosada light,1,taza,240,240,85,7.5,1.2,11.1,ND,ND,247.7,120.0,ND,descremada
Leche Light Extra,1,taza,240,240,103,8.0,2.4,14.0,ND,144.0,336.0,134.4,ND,descremada
Natilla Lala Siluette Plus,1,pieza,125,125,88,6.3,0.5,14.6,ND,ND,206.3,137.5,ND,descremada
PLF sin azucar con Lactobacillus casei Shirota,2,envase,160,160,60,2.0,0.1,16.8,ND,ND,74.0,26.0,ND,descremada
Yoghurt Activia 0% con ActiRegularis sabores Fresa y Ciruela Pasa,1,pieza,240,240,108,6.3,3.5,12.7,ND,ND,239.2,108.0,ND,descremada
Yoghurt bajo en grasa,1/3,taza,75,75,83,2.7,0.8,16.0,5.0,0.0,99.0,36.6,ND,descremada
Yoghurt Lala Light batido,1 1/2,pieza,188,188,90,7.3,0.4,14.4,ND,ND,240.0,178.5,ND,descremada
Yoghurt Lala Light bebible,1,pieza,250,250,85,7.3,0.5,13.0,ND,ND,255.0,100.0,ND,descremada
Yoghurt Lala Siluette Plus de fruta,1,pieza,250,250,85,7.3,0.5,13.0,ND,ND,255.0,100.0,ND,descremada
Yoghurt Lala Vive con fibra 0%,1,pieza,250,250,90,6.5,0.5,16.0,ND,ND,200.0,100.0,ND,descremada
Yoghurt light,3/4,taza,180,180,95,6.4,0.0,15.9,5.3,ND,158.8,100.6,ND,descremada
Yoghurt light de fruta,3/4,taza,180,180,95,5.3,0.0,16.9,5.3,ND,211.8,79.4,ND,descremada
Yoghurt para beber con fruta bajo en calorias,1,pieza,250,250,80,5.5,0.0,14.0,ND,ND,200.0,82.5,ND,descremada
Yoghurt solido Vitalinea sabor fresa,1 1/2,piezas,188,188,89,6.3,2.4,10.6,ND,ND,215.3,86.1,ND,descremada
Yoghurt solido Vitalinea sabor natural,1 1/2,pieza,188,188,97,7.2,2.7,10.9,ND,ND,243.9,98.9,ND,descremada
ALF natural con Lactobacillus casei Shirota,1.5,envase,157.5,157.5,108,5.7,3.4,13.5,ND,ND,195.0,72.0,ND,semidescremada
Leche evaporada semidescremada,1/2,taza,130,130,101,8.1,2.0,12.2,20.3,ND,324.0,141.8,ND,semidescremada
Leche facil digestion,1,taza,240,240,109,7.5,3.9,11.2,ND,144.0,248.0,120.0,ND,semidescremada
Leche Lactium MX,1,taza,240,240,109,7.2,4.0,11.0,21.0,330.0,264.0,100.0,ND,semidescremada
Leche Lala Extracalcio Deslactosada,1,taza,218,218,114,8.3,3.5,12.5,ND,ND,332.0,131.0,ND,semidescremada
Leche Lala Extracalcio Semidescremada,1,taza,218,218,114,8.3,3.5,12.5,ND,ND,332.0,131.0,ND,semidescremada
